height,weight,games_year
180,80,1992
170,60,2012
0,0,1920
0,0,1900
185,82,1988
185,82,1992
185,82,1994
188,75,1992
188,75,1994
183,72,1992
183,72,1994
168,0,1932
186,96,2002
0,0,1952
182,77,1980
172,70,2000
159,56,1996
159,56,2000
171,65,1994
0,0,1912
0,0,1920
0,0,1924
184,85,2014
175,64,1948
175,64,1952
189,130,2000
0,0,1948
176,85,1992
176,85,1994
176,85,1998
176,85,2002
176,85,2006
163,0,2008
170,125,2016
187,89,2000
187,89,2004
0,0,1960
0,0,1964
0,0,1920
169,65,1984
0,0,1984
170,77,1968
170,77,1972
0,0,1988
189,72,1996
189,72,2000
174,70,1936
0,0,1912
187,76,1992
187,76,1996
187,76,2012
190,98,1998
194,78,1996
194,78,2000
182,64,1996
0,0,1920
0,0,1912
0,0,1952
0,0,1956
0,0,1960
0,0,1920
0,0,1912
185,75,1992
182,73,1998
182,73,2002
0,0,1936
194,93,1936
194,93,1948
194,93,1952
194,93,1956
194,93,1960
177,74,1920
177,74,1924
177,74,1928
0,64,2012
168,65,2004
168,65,2008
185,106,1992
185,106,1996
167,64,2016
189,80,1976
172,58,2000
170,65,2016
0,0,1956
176,66,1988
164,71,1956
164,71,1960
172,75,1960
175,72,1960
198,90,2016
194,87,2008
0,0,1992
165,49,2016
179,80,2008
179,80,2012
178,76,2000
185,72,2008
167,65,2000
172,82,1992
180,83,2004
180,83,2008
182,86,2008
182,86,2012
182,86,2016
182,73,2012
178,70,2004
185,82,2000
166,75,1968
0,0,1996
0,0,1924
186,83,1996
190,77,2004
183,75,2000
0,0,1992
165,55,2004
181,82,1976
181,82,1980
181,82,1984
182,67,1980
182,67,1984
188,97,1964
168,105,1980
0,0,1984
163,60,2004
190,80,2012
180,73,2008
190,85,2004
190,85,2008
0,0,1984
155,43,2004
168,60,2004
180,70,1976
169,75,1968
181,79,1992
0,0,1936
170,51,1972
0,0,1936
0,0,1972
175,75,2012
175,75,2016
188,96,1988
188,96,1996
188,96,2000
182,90,1984
182,90,1988
182,90,1992
182,90,1996
187,97,1980
187,97,1984
187,97,1988
187,97,1992
176,64,1976
176,64,1980
175,66,2016
190,88,1996
169,67,1964
175,80,2004
160,65,1980
181,74,1992
0,60,1960
0,60,1964
178,78,1988
165,65,2000
0,0,1952
170,70,2004
168,55,2010
173,77,2004
178,80,2000
178,80,2004
178,80,2012
0,0,1952
170,62,1984
164,58,2014
165,60,2004
165,60,2008
165,60,2012
173,60,2012
181,74,2008
182,76,2008
159,53,2000
171,64,2012
192,90,2000
178,72,2016
195,85,2000
175,64,1964
175,64,1968
180,104,2016
172,80,1996
172,80,2000
167,58,2016
183,75,1928
184,87,2008
179,80,2008
175,70,2010
175,70,2014
179,71,1976
160,57,1996
164,63,2008
163,52,2016
0,0,1900
0,0,1900
185,91,2000
191,88,2008
165,57,2008
185,98,2000
185,98,2004
185,98,2012
195,94,2008
192,83,2004
192,83,2008
0,0,2008
167,60,2008
167,60,2012
163,57,2008
203,97,2016
0,0,1992
0,0,1996
0,0,1992
175,56,2004
168,57,1964
168,57,1972
169,68,1972
158,49,1984
172,61,2016
174,70,2000
168,68,2000
0,0,1960
0,0,1952
174,69,2000
180,56,1960
180,56,1968
154,48,2000
154,48,2004
153,46,2000
0,0,1992
186,100,2004
0,0,1948
0,0,1952
152,52,1976
193,82,1984
0,0,1992
189,85,1972
0,0,1948
0,0,1952
0,0,1960
0,81,1952
0,81,1960
183,76,1976
172,68,1988
0,0,2008
178,67,1984
178,67,1988
0,0,1992
188,92,2004
198,80,1972
198,80,1976
197,87,2008
197,87,2016
176,74,1996
0,0,1964
0,0,1960
0,0,1964
0,0,1936
0,0,1948
0,0,1952
0,0,1952
188,79,1984
0,0,1960
0,0,1964
180,120,2008
170,60,2008
170,60,2016
0,0,1992
190,83,2004
190,95,2000
165,48,2000
195,95,2000
0,0,1964
0,0,1996
157,48,1976
0,0,1948
165,57,2004
165,57,2008
165,57,2016
188,89,2016
176,60,2016
175,81,2016
0,0,2008
173,77,2012
173,77,2016
159,51,2008
170,58,2008
0,0,1984
170,94,2012
170,94,2016
0,0,1952
170,70,2004
170,70,2008
184,68,2016
160,46,2016
170,60,2012
165,60,2016
194,96,2012
167,63,2000
0,0,2008
207,90,2016
170,63,1980
170,63,1988
170,63,1992
173,60,2008
173,60,2012
170,80,2012
170,80,2016
176,56,2016
178,66,2008
178,66,2012
177,65,1992
177,65,1996
170,57,1988
170,57,1992
0,0,1928
0,0,1936
0,0,1948
178,61,2000
178,61,2004
178,61,2008
178,61,2012
169,74,2000
169,74,2004
169,74,2008
0,0,2008
173,59,1984
183,75,1976
176,60,2012
185,67,1996
175,85,2000
0,0,1984
165,60,2004
180,76,1988
180,76,1992
0,71,1996
180,67,2016
188,78,1988
0,0,1952
165,60,2016
147,50,2016
184,70,1980
180,73,2000
163,61,1996
163,61,2000
160,53,2000
160,53,2008
0,0,1992
172,90,1996
172,90,2000
175,55,2000
180,118,1960
180,118,1964
169,65,1984
0,0,1980
169,60,1976
156,59,1960
176,68,1992
168,54,1988
0,0,2000
172,70,1984
178,74,1976
175,80,1984
174,55,1972
173,64,1968
169,91,1960
181,72,1964
163,56,2008
163,56,2012
0,0,1936
0,0,1948
180,72,1984
0,0,1996
0,0,1988
0,0,1980
0,0,1952
158,58,2004
185,80,2004
175,75,2004
172,66,1968
172,66,1972
180,59,2008
166,61,2012
160,62,1972
181,73,1968
0,0,2012
0,0,1992
0,0,1992
164,55,2008
184,79,1988
187,83,2004
0,88,1992
0,0,1992
0,0,1992
0,0,1920
188,77,1996
188,77,2000
0,0,1992
0,0,1996
0,0,1988
188,91,2016
164,60,1996
164,60,2000
