Region,Sport,ParticipantCount
Afghanistan,Athletics,17
Afghanistan,Boxing,5
Afghanistan,Hockey,12
Afghanistan,Judo,3
Afghanistan,Taekwondo,4
Afghanistan,Wrestling,32
Albania,"Alpine Skiing",3
Albania,Athletics,14
Albania,Cycling,1
Albania,Judo,3
Albania,Shooting,12
Albania,Swimming,9
Albania,Weightlifting,17
Albania,Wrestling,7
Algeria,"Alpine Skiing",5
Algeria,Athletics,125
Algeria,Badminton,1
Algeria,Boxing,69
Algeria,"Cross Country Skiing",2
Algeria,Cycling,6
Algeria,Fencing,19
Algeria,Football,32
Algeria,Gymnastics,5
Algeria,Handball,55
Algeria,Judo,52
Algeria,Rowing,10
Algeria,Sailing,3
Algeria,Shooting,2
Algeria,Swimming,22
Algeria,"Table Tennis",8
Algeria,Taekwondo,1
Algeria,Tennis,2
Algeria,Trampolining,1
Algeria,Volleyball,31
Algeria,Weightlifting,18
Algeria,Wrestling,18
"American Samoa",Archery,1
"American Samoa",Athletics,11
"American Samoa",Bobsleigh,2
"American Samoa",Boxing,5
"American Samoa",Judo,3
"American Samoa",Sailing,2
"American Samoa",Swimming,4
"American Samoa",Weightlifting,7
"American Samoa",Wrestling,2
Andorra,"Alpine Skiing",41
Andorra,Athletics,12
Andorra,Biathlon,1
Andorra,Boxing,1
Andorra,Canoeing,1
Andorra,"Cross Country Skiing",2
Andorra,Cycling,5
Andorra,Judo,6
Andorra,Sailing,5
Andorra,Shooting,12
Andorra,Snowboarding,2
Andorra,Swimming,10
Angola,Athletics,24
Angola,Basketball,71
Angola,"Beach Volleyball",2
Angola,Boxing,7
Angola,Canoeing,3
Angola,Handball,84
Angola,Judo,14
Angola,Rowing,2
Angola,Sailing,6
Angola,Shooting,3
Angola,Swimming,26
"Antigua and Barbuda",Athletics,59
"Antigua and Barbuda",Boxing,2
"Antigua and Barbuda",Canoeing,3
"Antigua and Barbuda",Cycling,10
"Antigua and Barbuda",Sailing,9
"Antigua and Barbuda",Swimming,6
Argentina,"Alpine Skiing",100
Argentina,Archery,2
Argentina,"Art Competitions",1
Argentina,Athletics,168
Argentina,Basketball,83
Argentina,"Beach Volleyball",14
Argentina,Biathlon,20
Argentina,Bobsleigh,21
Argentina,Boxing,130
Argentina,Canoeing,38
Argentina,"Cross Country Skiing",21
Argentina,Cycling,118
Argentina,Diving,6
Argentina,Equestrianism,77
Argentina,Fencing,127
Argentina,Football,142
Argentina,"Freestyle Skiing",3
Argentina,Golf,2
Argentina,Gymnastics,18
Argentina,Handball,44
Argentina,Hockey,277
Argentina,Judo,63
Argentina,Luge,7
Argentina,"Modern Pentathlon",10
Argentina,Polo,9
Argentina,Rowing,162
Argentina,"Rugby Sevens",13
Argentina,Sailing,170
Argentina,Shooting,87
Argentina,Skeleton,1
Argentina,Snowboarding,1
Argentina,Swimming,112
Argentina,"Synchronized Swimming",4
Argentina,"Table Tennis",11
Argentina,Taekwondo,7
Argentina,Tennis,57
Argentina,Triathlon,7
Argentina,Volleyball,94
Argentina,"Water Polo",22
Argentina,Weightlifting,22
Argentina,Wrestling,36
Armenia,"Alpine Skiing",7
Armenia,Athletics,19
Armenia,Bobsleigh,4
Armenia,Boxing,19
Armenia,Canoeing,2
Armenia,"Cross Country Skiing",10
Armenia,Cycling,1
Armenia,Diving,3
Armenia,"Figure Skating",10
