region_name,gold_medal_count
USA,2533
"Soviet Union",1135
Germany,843
UK,658
Italy,568
France,492
Sweden,477
Russia,466
Canada,461
"East Germany",451
Hungary,434
Norway,378
China,350
Australia,348
Netherlands,280
Japan,248
"Unified Team",233
"South Korea",224
"West Germany",213
Finland,198
Denmark,179
Switzerland,170
Cuba,164
Romania,163
Yugoslavia,136
India,119
Poland,117
Austria,113
Spain,111
Brazil,109
"New Zealand",92
Argentina,91
Czechoslovakia,91
Belgium,78
Ukraine,63
Croatia,62
Bulgaria,56
Belarus,46
"Czech Republic",46
Pakistan,45
Jamaica,38
Turkey,34
Kenya,34
Greece,34
"South Africa",33
Uruguay,31
Mexico,30
Nigeria,23
Kazakhstan,23
"Serbia and Montenegro",23
Ethiopia,22
Australasia,21
Cameroon,20
Serbia,19
Iran,18
Slovakia,18
Uzbekistan,16
"North Korea",16
Zimbabwe,16
Estonia,16
Bahamas,14
Lithuania,13
Fiji,13
Indonesia,11
Ireland,11
Azerbaijan,9
Georgia,9
Thailand,9
Slovenia,9
"Trinidad and Tobago",7
Egypt,7
Morocco,6
Latvia,6
Armenia,5
Algeria,5
Colombia,5
"Individual Olympic Athletes",4
Luxembourg,4
Taiwan,4
Portugal,4
Moldova,4
"Dominican Republic",3
Tunisia,3
Chile,3
Uganda,2
Mongolia,2
Venezuela,2
Liechtenstein,2
Jordan,1
Kuwait,1
"United Arab Emirates",1
"Ivory Coast",1
Israel,1
Vietnam,1
Grenada,1
Bahrain,1
Albania,1
Kosovo,1
"Hong Kong",1
Mozambique,1
Tajikistan,1
Suriname,1
Burundi,1
Ecuador,1
"Costa Rica",1
"Puerto Rico",1
Panama,1
Singapore,1
Syria,1
Macedonia,1
Peru,1
