event_name,region_name,medalist_count
"Ice Hockey Men's Ice Hockey",Canada,246
"Basketball Men's Basketball",USA,212
"Ice Hockey Men's Ice Hockey",Sweden,177
"Ice Hockey Men's Ice Hockey","Soviet Union",176
"Water Polo Men's Water Polo",Hungary,172
"Hockey Men's Hockey",India,163
"Ice Hockey Men's Ice Hockey",USA,160
"Ice Hockey Men's Ice Hockey",Czechoslovakia,146
"Hockey Men's Hockey",Germany,141
"Hockey Men's Hockey",Australia,140
"Swimming Men's 4 x 200 metres Freestyle Relay",USA,138
"Rowing Men's Coxed Eights",USA,135
"Ice Hockey Men's Ice Hockey",Finland,135
"Hockey Women's Hockey",Netherlands,128
"Hockey Men's Hockey",Netherlands,127
"Hockey Men's Hockey",Pakistan,122
"Swimming Women's 4 x 100 metres Freestyle Relay",USA,122
"Basketball Women's Basketball",USA,119
"Basketball Men's Basketball","Soviet Union",118
"Rowing Men's Coxed Eights",UK,116
"Baseball Men's Baseball",Cuba,112
"Hockey Men's Hockey",UK,109
"Swimming Women's 4 x 100 metres Medley Relay",USA,106
"Swimming Men's 4 x 100 metres Medley Relay",USA,105
"Fencing Men's Sabre, Team",Italy,104
"Ice Hockey Women's Ice Hockey",Canada,101
"Football Men's Football",Brazil,101
"Ice Hockey Women's Ice Hockey",USA,101
"Water Polo Men's Water Polo",Italy,94
"Rowing Men's Coxed Eights",Canada,93
"Fencing Men's Sabre, Team",Hungary,92
"Fencing Men's Foil, Team",France,90
"Fencing Men's epee, Team",France,89
"Athletics Men's 4 x 400 metres Relay",USA,88
"Football Men's Football","Soviet Union",87
"Handball Women's Handball",Norway,85
"Handball Women's Handball","South Korea",83
"Rowing Women's Coxed Eights",Romania,83
"Water Polo Men's Water Polo",USA,83
"Water Polo Men's Water Polo","Soviet Union",83
"Fencing Men's epee, Team",Italy,82
"Rowing Men's Coxed Eights",Germany,80
"Water Polo Men's Water Polo",Yugoslavia,79
"Football Men's Football",Hungary,79
"Swimming Men's 4 x 100 metres Freestyle Relay",USA,78
"Football Women's Football",USA,76
"Gymnastics Men's Team All-Around",Japan,76
"Volleyball Women's Volleyball","Soviet Union",75
"Football Men's Football",Yugoslavia,73
"Volleyball Men's Volleyball",Italy,72
"Volleyball Men's Volleyball",Brazil,72
"Volleyball Men's Volleyball","Soviet Union",71
"Athletics Men's 4 x 100 metres Relay",USA,71
"Fencing Men's Foil, Team",Italy,70
"Gymnastics Women's Team All-Around",Romania,70
"Volleyball Women's Volleyball",Japan,69
"Football Women's Football",Germany,68
"Football Men's Football",Argentina,68
"Basketball Men's Basketball",Yugoslavia,68
"Baseball Men's Baseball",USA,68
"Volleyball Women's Volleyball",China,66
"Football Men's Football",Denmark,65
"Gymnastics Men's Team All-Around",Italy,65
"Athletics Women's 4 x 100 metres Relay",USA,64
"Baseball Men's Baseball",Japan,64
"Hockey Women's Hockey",Argentina,63
"Water Polo Women's Water Polo",USA,63
"Hockey Men's Hockey",Spain,62
"Handball Men's Handball",Sweden,61
"Handball Men's Handball",France,61
"Gymnastics Men's Team All-Around",Finland,61
"Ice Hockey Men's Ice Hockey","Czech Republic",60
"Basketball Women's Basketball",Australia,60
"Softball Women's Softball",USA,60
"Volleyball Women's Volleyball",USA,60
"Softball Women's Softball",Australia,60
"Volleyball Men's Volleyball",USA,60
"Ice Hockey Men's Ice Hockey",Russia,59
"Cycling Men's Team Pursuit, 4,000 metres",UK,58
"Handball Men's Handball",Romania,58
"Gymnastics Women's Team All-Around","Soviet Union",57
"Gymnastics Men's Team All-Around","Soviet Union",57
"Handball Men's Handball",Germany,56
"Bobsleigh Men's Four",Switzerland,56
"Athletics Women's 4 x 400 metres Relay",USA,56
"Rowing Men's Coxless Fours",UK,56
"Swimming Men's 4 x 100 metres Medley Relay",Australia,55
"Hockey Men's Hockey","West Germany",55
"Gymnastics Women's Team All-Around",USA,55
"Athletics Men's 110 metres Hurdles",USA,54
"Rowing Men's Coxed Eights",Australia,54
"Rowing Women's Coxed Eights",USA,54
"Gymnastics Men's Team All-Around, Swedish System",Denmark,53
"Football Men's Football","East Germany",52
"Football Men's Football",Spain,52
"Athletics Men's 4 x 400 metres Relay",UK,52
"Cross Country Skiing Men's 4 x 10 kilometres Relay",Finland,52
"Handball Men's Handball",Croatia,51
"Swimming Women's 4 x 100 metres Freestyle Relay",Netherlands,51
"Swimming Women's 4 x 100 metres Medley Relay",Australia,50
"Water Polo Men's Water Polo",Serbia,50
"Athletics Men's Shot Put",USA,50
"Football Men's Football",Poland,50
"Football Men's Football",Nigeria,50
"Gymnastics Men's Team All-Around",Norway,50
"Hockey Women's Hockey",Germany,49
"Handball Men's Handball","Soviet Union",49
"Gymnastics Men's Team All-Around, Free System",Norway,49
"Hockey Women's Hockey",UK,48
"Hockey Women's Hockey",Australia,48
"Handball Women's Handball","Soviet Union",48
"Handball Men's Handball",Yugoslavia,48
"Gymnastics Men's Team All-Around, Swedish System",Sweden,48
"Football Men's Football",Italy,48
"Cross Country Skiing Men's 4 x 10 kilometres Relay",Norway,48
"Basketball Men's Basketball",Spain,48
"Baseball Men's Baseball","South Korea",48
"Volleyball Women's Volleyball",Brazil,48
"Volleyball Men's Volleyball",Russia,48
"Cycling Men's Team Pursuit, 4,000 metres",Italy,46
"Equestrianism Mixed Dressage, Team",Germany,46
"Handball Men's Handball",Spain,46
"Athletics Men's Pole Vault",USA,45
"Handball Women's Handball",Hungary,45
"Handball Women's Handball",Denmark,45
"Rowing Men's Coxless Fours",USA,45
"Rowing Women's Coxed Eights",Netherlands,45
"Synchronized Swimming Women's Team",Russia,44
"Swimming Men's 4 x 200 metres Freestyle Relay",Australia,44
"Softball Women's Softball",Japan,44
"Athletics Men's 200 metres",USA,44
"Cross Country Skiing Men's 4 x 10 kilometres Relay",Sweden,44
"Athletics Men's Long Jump",USA,44
"Rugby Men's Rugby",France,43
"Rowing Men's Coxed Fours",Germany,42
"Water Polo Men's Water Polo",Croatia,42
"Gymnastics Women's Team All-Around",Czechoslovakia,42
"Football Men's Football",Sweden,42
"Athletics Men's 400 metres",USA,42
"Football Men's Football",Netherlands,41
"Gymnastics Men's Team All-Around",China,41
"Bobsleigh Men's Four",Germany,41
"Basketball Women's Basketball","Soviet Union",41
"Ice Hockey Women's Ice Hockey",Sweden,40
"Ice Hockey Men's Ice Hockey","Unified Team",40
"Gymnastics Men's Team All-Around, Free System",Denmark,40
"Athletics Men's 400 metres Hurdles",USA,40
"Basketball Men's Basketball",Lithuania,40
"Swimming Women's 4 x 200 metres Freestyle Relay",USA,40
"Water Polo Men's Water Polo",Belgium,40
"Volleyball Women's Volleyball",Cuba,40
"Swimming Women's 4 x 100 metres Freestyle Relay",Australia,39
"Water Polo Women's Water Polo",Australia,39
"Ice Hockey Women's Ice Hockey",Finland,39
"Athletics Men's 100 metres",USA,39
"Gymnastics Men's Team All-Around",Sweden,38
"Water Polo Men's Water Polo","Serbia and Montenegro",38
"Swimming Men's 100 metres Backstroke",USA,37
"Rowing Men's Coxed Eights","Soviet Union",37
"Tug-Of-War Men's Tug-Of-War",UK,37
"Handball Men's Handball",Russia,37
"Football Men's Football",UK,37
"Gymnastics Men's Team All-Around",USA,37
"Gymnastics Men's Team All-Around",Switzerland,37
"Football Men's Football",Germany,37
"Bobsleigh Men's Four",USA,37
"Diving Men's Springboard",USA,37
"Fencing Men's Sabre, Team","Soviet Union",36
"Football Women's Football",Canada,36
"Gymnastics Women's Team All-Around",Hungary,36
"Rowing Men's Coxed Eights",Netherlands,36
"Rowing Women's Coxed Eights",Canada,36
"Synchronized Swimming Women's Team",Japan,35
"Rhythmic Gymnastics Women's Group",Russia,35
"Football Women's Football",Brazil,35
"Equestrianism Mixed Three-Day Event, Team",USA,35
"Equestrianism Mixed Three-Day Event, Team",UK,35
"Fencing Women's Foil, Team",Hungary,35
"Equestrianism Mixed Jumping, Team",Germany,35
"Fencing Men's epee, Team",Hungary,34
"Basketball Men's Basketball",Brazil,34
"Rugby Men's Rugby",USA,34
"Football Women's Football",Norway,33
"Athletics Men's High Jump",USA,33
"Football Men's Football",Czechoslovakia,33
"Gymnastics Men's Team All-Around","East Germany",33
"Basketball Women's Basketball",Russia,33
"Diving Women's Springboard",USA,33
"Cycling Men's Team Pursuit, 4,000 metres",Australia,33
"Athletics Women's 4 x 100 metres Relay",UK,32
"Hockey Women's Hockey","South Korea",32
"Athletics Men's Discus Throw",USA,32
"Football Men's Football",Bulgaria,32
"Gymnastics Men's Team All-Around",France,32
"Bobsleigh Men's Two",Switzerland,32
"Cross Country Skiing Men's 4 x 10 kilometres Relay","Soviet Union",32
"Cross Country Skiing Women's 4 x 5 kilometres Relay",Norway,32
"Swimming Women's 4 x 200 metres Freestyle Relay",Australia,32
"Rowing Men's Coxless Fours",Italy,32
"Rowing Women's Coxed Eights","East Germany",32
"Volleyball Men's Volleyball",Japan,32
"Rowing Men's Coxed Fours",France,31
"Rowing Women's Quadruple Sculls",Germany,31
"Water Polo Men's Water Polo",Germany,31
"Volleyball Women's Volleyball",Russia,31
"Fencing Men's Foil, Team","Soviet Union",31
"Football Men's Football",Uruguay,31
"Canoeing Women's Kayak Fours, 500 metres",Germany,31
"Fencing Women's Foil, Team","Soviet Union",31
"Diving Men's Platform",USA,30
"Fencing Men's Sabre, Team",France,30
"Gymnastics Women's Team All-Around",Russia,30
"Gymnastics Women's Team All-Around","East Germany",30
"Athletics Men's 4 x 400 metres Relay",Jamaica,30
"Gymnastics Men's Team All-Around",Hungary,30
"Canoeing Men's Kayak Fours, 1,000 metres",Germany,30
