games_year,region_name,athlete_name,event_name,sport_name,medal_name
1896,Hungary,"Alajos (Aljoz) Szokoly (-Szokol)","Athletics Men's 100 metres",Athletics,Bronze
1896,Germany,"Hermann Otto Ludwig Weingrtner","Gymnastics Men's Horse Vault",Gymnastics,Bronze
1896,Hungary,"Momcsill Tapavicza","Tennis Men's Singles",Tennis,Bronze
1896,Greece,"Khios "Konstantinos"" Paspatis"","Tennis Men's Singles",Tennis,Bronze
1896,Denmark,"Holger Louis Nielsen","Shooting Men's Muzzle-Loading Pistol, 25 metres",Shooting,Bronze
1896,Denmark,"Holger Louis Nielsen","Fencing Men's Sabre, Individual",Fencing,Bronze
1896,Australia,"Edwin Harold "Teddy"" Flack"","Tennis Men's Doubles",Tennis,Bronze
1896,France,"Marie Lon Flameng","Cycling Men's Sprint",Cycling,Bronze
1896,USA,"James Brendan Bennet Connolly","Athletics Men's Long Jump",Athletics,Bronze
1896,USA,"Francis Adonijah "Frank"" Lane"","Athletics Men's 100 metres",Athletics,Bronze
1896,France,"Albin Georges Lermusiaux","Athletics Men's 1,500 metres",Athletics,Bronze
1896,Greece,"Dimitrios Loundras","Gymnastics Men's Parallel Bars, Teams",Gymnastics,Bronze
1896,Hungary,"Gyula Kellner","Athletics Men's Marathon",Athletics,Bronze
1896,UK,"George Stuart Robertson","Tennis Men's Doubles",Tennis,Bronze
1896,Austria,"Felix Adolf Schmal","Cycling Men's 333 metres Time Trial",Cycling,Bronze
1896,Austria,"Felix Adolf Schmal","Cycling Men's 10,000 metres",Cycling,Bronze
1896,Germany,"Fritz Hofmann","Gymnastics Men's Rope Climbing",Gymnastics,Bronze
1896,UK,"Charles Henry Stuart Gmelin","Athletics Men's 400 metres",Athletics,Bronze
1896,Greece,"Dimitrios P. Golemis","Athletics Men's 800 metres",Athletics,Bronze
1896,Denmark,"Alexander Viggo Jensen","Shooting Men's Free Rifle, Three Positions, 300 metres",Shooting,Bronze
1896,Switzerland,"Jules Alexis "Louis"" Zutter"","Gymnastics Men's Pommelled Horse",Gymnastics,Gold
1896,Germany,"Hermann Otto Ludwig Weingrtner","Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Germany,"Hermann Otto Ludwig Weingrtner","Gymnastics Men's Horizontal Bar",Gymnastics,Gold
1896,Germany,"Hermann Otto Ludwig Weingrtner","Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,France,"Paul Michel Pierre Adrien Masson (-Nossam)","Cycling Men's 10,000 metres",Cycling,Gold
1896,France,"Paul Michel Pierre Adrien Masson (-Nossam)","Cycling Men's 333 metres Time Trial",Cycling,Gold
1896,Greece,"Spyridon "Spyros"" Louis"","Athletics Men's Marathon",Athletics,Gold
1896,France,"Paul Michel Pierre Adrien Masson (-Nossam)","Cycling Men's Sprint",Cycling,Gold
1896,Germany,"Julius Carl Fritz Manteuffel","Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,Germany,"Julius Carl Fritz Manteuffel","Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,USA,"Thomas Edmund "Tom"" Burke"","Athletics Men's 400 metres",Athletics,Gold
1896,USA,"Ellery Harding Clark","Athletics Men's High Jump",Athletics,Gold
1896,Germany,"Conrad Helmut Fritz Bcker","Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,UK,"John Mary Pius Boland","Tennis Men's Singles",Tennis,Gold
1896,Germany,"Conrad Helmut Fritz Bcker","Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,USA,"Ellery Harding Clark","Athletics Men's Long Jump",Athletics,Gold
1896,USA,"Thomas Edmund "Tom"" Burke"","Athletics Men's 100 metres",Athletics,Gold
1896,USA,"James Brendan Bennet Connolly","Athletics Men's Triple Jump",Athletics,Gold
1896,UK,"John Mary Pius Boland","Tennis Men's Doubles",Tennis,Gold
1896,Hungary,"Alfrd (Arnold-) Hajs (Guttmann-)","Swimming Men's 100 metres Freestyle",Swimming,Gold
1896,Hungary,"Alfrd (Arnold-) Hajs (Guttmann-)","Swimming Men's 1,200 metres Freestyle",Swimming,Gold
1896,Germany,"Georg Otto Hilmar","Gymnastics Men's Horizontal Bar, Teams",Gymnastics,Gold
1896,Germany,"Georg Otto Hilmar","Gymnastics Men's Parallel Bars, Teams",Gymnastics,Gold
1896,USA,"William Welles "Bill"" Hoyt"","Athletics Men's Pole Vault",Athletics,Gold
1896,Denmark,"Alexander Viggo Jensen","Weightlifting Men's Unlimited, Two Hands",Weightlifting,Gold
1896,Austria,"Felix Adolf Schmal","Cycling Men's 12-Hours Race",Cycling,Gold
