region_name,sport_name,games_year,season,total_medals
Afghanistan,Taekwondo,2012,Summer,1
Afghanistan,Taekwondo,2008,Summer,1
Albania,Athletics,2000,Summer,1
Albania,Athletics,2004,Summer,1
Albania,Judo,2016,Summer,1
Algeria,Athletics,2000,Summer,4
Algeria,Athletics,2016,Summer,2
Algeria,Boxing,1984,Summer,2
Algeria,Boxing,1996,Summer,2
Algeria,Judo,2008,Summer,2
Algeria,Athletics,1992,Summer,1
Algeria,Boxing,2000,Summer,1
Algeria,Athletics,2012,Summer,1
Algeria,Athletics,1996,Summer,1
Algeria,Boxing,1992,Summer,1
Argentina,Football,2008,Summer,18
Argentina,Hockey,2016,Summer,18
Argentina,Football,1996,Summer,18
Argentina,Football,2004,Summer,16
Argentina,Hockey,2004,Summer,16
Argentina,Football,1928,Summer,16
Argentina,Hockey,2000,Summer,16
Argentina,Hockey,2008,Summer,16
Argentina,Hockey,2012,Summer,15
Argentina,Volleyball,1988,Summer,12
Argentina,Basketball,2008,Summer,12
Argentina,Basketball,2004,Summer,12
Argentina,Polo,1924,Summer,5
Argentina,Sailing,1948,Summer,5
Argentina,Fencing,1928,Summer,5
Argentina,Boxing,1936,Summer,4
Argentina,Boxing,1928,Summer,4
Argentina,Polo,1936,Summer,4
Argentina,Sailing,2000,Summer,4
Argentina,Boxing,1924,Summer,4
Argentina,Boxing,1948,Summer,3
Argentina,Boxing,1932,Summer,3
Argentina,Sailing,1960,Summer,3
Argentina,Sailing,2008,Summer,3
Argentina,Tennis,1992,Summer,2
Argentina,Boxing,1952,Summer,2
Argentina,Sailing,2004,Summer,2
Argentina,Tennis,2004,Summer,2
Argentina,Cycling,2008,Summer,2
Argentina,Rowing,1936,Summer,2
Argentina,Sailing,2016,Summer,2
Argentina,Sailing,2012,Summer,2
Argentina,Rowing,1952,Summer,2
Argentina,Athletics,1948,Summer,2
Argentina,Swimming,1936,Summer,1
Argentina,Boxing,1996,Summer,1
Argentina,Taekwondo,2012,Summer,1
Argentina,Athletics,1924,Summer,1
Argentina,Swimming,2004,Summer,1
Argentina,Tennis,2016,Summer,1
Argentina,Equestrianism,1964,Summer,1
Argentina,Tennis,2012,Summer,1
Argentina,Shooting,1948,Summer,1
Argentina,Boxing,1960,Summer,1
Argentina,Athletics,1952,Summer,1
Argentina,Rowing,1972,Summer,1
Argentina,Sailing,1996,Summer,1
Argentina,Boxing,1968,Summer,1
Argentina,Rowing,1968,Summer,1
Argentina,Judo,2008,Summer,1
Argentina,Weightlifting,1956,Summer,1
Argentina,Tennis,1988,Summer,1
Argentina,Weightlifting,1952,Summer,1
Argentina,Athletics,1932,Summer,1
Argentina,Swimming,1928,Summer,1
Argentina,Boxing,1956,Summer,1
Argentina,Judo,2016,Summer,1
