games_year,previous_year,duration
1896,NULL,NULL
1900,1896,4
1904,1900,4
1906,1904,2
1908,1906,2
1912,1908,4
1920,1912,8
1924,1920,4
1924,1924,0
1928,1924,4
1928,1928,0
1932,1928,4
1932,1932,0
1936,1932,4
1936,1936,0
1948,1936,12
1948,1948,0
1952,1948,4
1952,1952,0
1956,1952,4
1956,1956,0
1960,1956,4
1960,1960,0
1964,1960,4
1964,1964,0
1968,1964,4
1968,1968,0
1972,1968,4
1972,1972,0
1976,1972,4
1976,1976,0
1980,1976,4
1980,1980,0
1984,1980,4
1984,1984,0
1988,1984,4
1988,1988,0
1992,1988,4
1992,1992,0
1994,1992,2
1996,1994,2
1998,1996,2
2000,1998,2
2002,2000,2
2004,2002,2
2006,2004,2
2008,2006,2
2010,2008,2
2012,2010,2
2014,2012,2
2016,2014,2
