games_year,event_name,medal_id,medalist_name
1896,"Athletics Men's 1,500 metres",1,"Edwin Harold "Teddy"" Flack""
1896,"Athletics Men's 1,500 metres",4,"Carl Galle"
1896,"Athletics Men's 1,500 metres",4,"Dimitrios Mikhail "Dimitri"" Tombrof""
1896,"Athletics Men's 1,500 metres",2,"Arthur Charles Blake"
1896,"Athletics Men's 1,500 metres",3,"Albin Georges Lermusiaux"
1896,"Athletics Men's 1,500 metres",4,"Dimitrios P. Golemis"
1896,"Athletics Men's 100 metres",4,"Charles Henry Stuart Gmelin"
1896,"Athletics Men's 100 metres",4,"Eugen Stahl Schmidt"
1896,"Athletics Men's 100 metres",1,"Thomas Edmund "Tom"" Burke""
1896,"Athletics Men's 100 metres",3,"Francis Adonijah "Frank"" Lane""
1896,"Athletics Men's 100 metres",2,"Fritz Hofmann"
1896,"Athletics Men's 100 metres",4,"Kurt Wilhelm Doerry"
1896,"Athletics Men's 100 metres",4,"Launceston Elliot"
1896,"Athletics Men's 100 metres",3,"Alajos (Aljoz) Szokoly (-Szokol)"
1896,"Athletics Men's 100 metres",4,"Thomas Pelham "Tom"" Curtis""
1896,"Athletics Men's 100 metres",4,"Friedrich Adolf "Fritz"" Traun""
1896,"Athletics Men's 100 metres",4,"Kristian Henrik Rudolf Sjberg"
1896,"Athletics Men's 110 metres Hurdles",4,"William Welles "Bill"" Hoyt""
1896,"Athletics Men's 110 metres Hurdles",4,"Franois tienne "Frantz"" Reichel""
1896,"Athletics Men's 110 metres Hurdles",4,"Kurt Wilhelm Doerry"
1896,"Athletics Men's 110 metres Hurdles",4,"Alajos (Aljoz) Szokoly (-Szokol)"
1896,"Athletics Men's 110 metres Hurdles",2,"Grantley Thomas Smart Goulding"
1896,"Athletics Men's 110 metres Hurdles",1,"Thomas Pelham "Tom"" Curtis""
1896,"Athletics Men's 400 metres",4,"Franois tienne "Frantz"" Reichel""
1896,"Athletics Men's 400 metres",1,"Thomas Edmund "Tom"" Burke""
1896,"Athletics Men's 400 metres",4,"Kurt Wilhelm Doerry"
1896,"Athletics Men's 400 metres",3,"Charles Henry Stuart Gmelin"
1896,"Athletics Men's 400 metres",4,"Fritz Hofmann"
1896,"Athletics Men's 400 metres",2,"Herbert Brotherson Jamison"
1896,"Athletics Men's 800 metres",4,"Dimitrios Mikhail "Dimitri"" Tombrof""
1896,"Athletics Men's 800 metres",4,"Georges Daviel de la Nzire"
1896,"Athletics Men's 800 metres",4,"Albin Georges Lermusiaux"
1896,"Athletics Men's 800 metres",4,"Friedrich Adolf "Fritz"" Traun""
1896,"Athletics Men's 800 metres",2,"Nndor Dni"
1896,"Athletics Men's 800 metres",3,"Dimitrios P. Golemis"
1896,"Athletics Men's 800 metres",1,"Edwin Harold "Teddy"" Flack""
1896,"Athletics Men's Discus Throw",4,"George Stuart Robertson"
1896,"Athletics Men's Discus Throw",4,"Alexander Viggo Jensen"
1896,"Athletics Men's Discus Throw",4,"Holger Louis Nielsen"
1896,"Athletics Men's Discus Throw",1,"Robert "Bob"" Garrett""
1896,"Athletics Men's Discus Throw",4,"Kristian Henrik Rudolf Sjberg"
1896,"Athletics Men's High Jump",1,"Ellery Harding Clark"
1896,"Athletics Men's High Jump",4,"Fritz Hofmann"
1896,"Athletics Men's High Jump",2,"Robert "Bob"" Garrett""
1896,"Athletics Men's High Jump",2,"James Brendan Bennet Connolly"
1896,"Athletics Men's High Jump",4,"Kristian Henrik Rudolf Sjberg"
1896,"Athletics Men's Long Jump",2,"Robert "Bob"" Garrett""
1896,"Athletics Men's Long Jump",4,"Carl Schuhmann"
1896,"Athletics Men's Long Jump",1,"Ellery Harding Clark"
1896,"Athletics Men's Long Jump",4,"Pierre Alexandre Tuffri"
1896,"Athletics Men's Long Jump",3,"James Brendan Bennet Connolly"
1896,"Athletics Men's Long Jump",4,"Kristian Henrik Rudolf Sjberg"
1896,"Athletics Men's Marathon",1,"Spyridon "Spyros"" Louis""
1896,"Athletics Men's Marathon",4,"Albin Georges Lermusiaux"
