sport_name,games_name,event_name
Gymnastics,"2016 Summer","Gymnastics Men's Individual All-Around"
Badminton,"2014 Winter","Badminton Men's Singles"
Judo,"2012 Summer","Judo Men's Extra-Lightweight"
"Speed Skating","2010 Winter","Speed Skating Men's 500 metres"
Swimming,"2008 Summer","Swimming Men's 400 metres Breaststroke"
Swimming,"2006 Winter","Swimming Men's 200 metres Breaststroke"
Gymnastics,"2004 Summer","Gymnastics Men's Team All-Around"
"Cross Country Skiing","2002 Winter","Cross Country Skiing Men's 10/15 kilometres Pursuit"
Athletics,"2000 Summer","Athletics Women's 100 metres"
Biathlon,"1998 Winter","Biathlon Women's 7.5 kilometres Sprint"
Athletics,"1996 Summer","Athletics Women's 4 x 100 metres Relay"
"Cross Country Skiing","1994 Winter","Cross Country Skiing Men's 10 kilometres"
"Speed Skating","1992 Winter","Speed Skating Women's 1,000 metres"
Basketball,"1992 Summer","Basketball Men's Basketball"
"Speed Skating","1988 Winter","Speed Skating Women's 500 metres"
Athletics,"1988 Summer","Athletics Men's Shot Put"
Gymnastics,"1984 Winter","Gymnastics Men's Parallel Bars"
Gymnastics,"1984 Summer","Gymnastics Men's Horizontal Bar"
"Cross Country Skiing","1980 Winter","Cross Country Skiing Men's 30 kilometres"
Weightlifting,"1980 Summer","Weightlifting Women's Super-Heavyweight"
Luge,"1976 Winter","Luge Women's Singles"
Handball,"1976 Summer","Handball Women's Handball"
Gymnastics,"1972 Winter","Gymnastics Men's Team All-Around, Free System"
Gymnastics,"1972 Summer","Gymnastics Men's Pommelled Horse"
"Speed Skating","1968 Winter","Speed Skating Men's 1,500 metres"
Gymnastics,"1968 Summer","Gymnastics Men's Rings"
Gymnastics,"1964 Winter","Gymnastics Men's Horse Vault"
Wrestling,"1964 Summer","Wrestling Men's Light-Heavyweight, Greco-Roman"
Gymnastics,"1960 Winter","Gymnastics Men's Floor Exercise"
"Alpine Skiing","1960 Summer","Alpine Skiing Men's Slalom"
"Alpine Skiing","1956 Winter","Alpine Skiing Men's Super G"
"Alpine Skiing","1956 Summer","Alpine Skiing Men's Giant Slalom"
"Alpine Skiing","1952 Winter","Alpine Skiing Men's Downhill"
"Cross Country Skiing","1952 Summer","Cross Country Skiing Men's 4 x 10 kilometres Relay"
Athletics,"1948 Winter","Athletics Men's High Jump"
Sailing,"1948 Summer","Sailing Women's Windsurfer"
Athletics,"1936 Winter","Athletics Men's 1,500 metres"
"Art Competitions","1936 Summer","Art Competitions Mixed Sculpturing, Unknown Event"
Sailing,"1932 Winter","Sailing Men's Two Person Dinghy"
"Cross Country Skiing","1932 Summer","Cross Country Skiing Men's 50 kilometres"
Rowing,"1928 Winter","Rowing Men's Lightweight Double Sculls"
"Alpine Skiing","1928 Summer","Alpine Skiing Men's Combined"
"Water Polo","1924 Winter","Water Polo Men's Water Polo"
Swimming,"1924 Summer","Swimming Men's 400 metres Freestyle"
Football,"1920 Summer","Football Men's Football"
"Ice Hockey","1912 Summer","Ice Hockey Men's Ice Hockey"
Athletics,"1908 Summer","Athletics Men's Pole Vault"
Hockey,"1906 Summer","Hockey Women's Hockey"
Sailing,"1904 Summer","Sailing Mixed Three Person Keelboat"
Tug-Of-War,"1900 Summer","Tug-Of-War Men's Tug-Of-War"
Bobsleigh,"1896 Summer","Bobsleigh Men's Four"
