sport_name,region_name,participants
Aeronautics,Kazakhstan,1
"Alpine Skiing",Norway,3
"Alpine Skiing",Egypt,2
"Alpine Skiing",Ethiopia,1
"Alpine Skiing",Romania,1
"Alpine Skiing",Spain,1
"Alpine Skiing","United Arab Republic",1
Alpinism,Belarus,1
Archery,Egypt,3
Archery,USA,2
Archery,France,2
Archery,Germany,2
Archery,Australia,1
Archery,Belarus,1
Archery,Benin,1
Archery,Colombia,1
Archery,Georgia,1
Archery,Jordan,1
Archery,Lebanon,1
Archery,Mexico,1
Archery,Morocco,1
Archery,Palestine,1
Archery,Russia,1
Archery,Slovenia,1
Archery,Sweden,1
Archery,"United Arab Republic",1
Archery,Ethiopia,1
Archery,"West Germany",1
"Art Competitions",Egypt,6
"Art Competitions",Russia,2
"Art Competitions",USA,2
"Art Competitions",Brazil,1
"Art Competitions",Germany,1
"Art Competitions",Hungary,1
"Art Competitions",Japan,1
"Art Competitions",Kuwait,1
"Art Competitions",Lebanon,1
"Art Competitions",Norway,1
"Art Competitions",Poland,1
"Art Competitions",Cameroon,1
"Art Competitions",Somalia,1
"Art Competitions",Spain,1
"Art Competitions",Sweden,1
"Art Competitions",Switzerland,1
"Art Competitions",UK,1
"Art Competitions",Ukraine,1
"Art Competitions",Chile,1
Athletics,Egypt,18
Athletics,Norway,4
Athletics,Azerbaijan,3
Athletics,Portugal,3
Athletics,Sweden,3
Athletics,USA,3
Athletics,Algeria,2
Athletics,Finland,2
Athletics,France,2
Athletics,Georgia,2
Athletics,Kuwait,2
Athletics,Qatar,2
Athletics,Spain,2
Athletics,Uzbekistan,2
Athletics,Australia,1
Athletics,Belarus,1
Athletics,Ireland,1
Athletics,Italy,1
Athletics,"Ivory Coast",1
Athletics,Japan,1
Athletics,Brazil,1
Athletics,Lebanon,1
Athletics,Malaysia,1
Athletics,Mexico,1
Athletics,Netherlands,1
Athletics,"New Zealand",1
Athletics,Cameroon,1
Athletics,Pakistan,1
Athletics,Palestine,1
Athletics,Canada,1
Athletics,Chile,1
Athletics,Romania,1
Athletics,Russia,1
Athletics,"South Africa",1
Athletics,Cuba,1
Athletics,Angola,1
Athletics,"United Arab Emirates",1
Athletics,Estonia,1
Athletics,Argentina,1
Badminton,Chad,1
Badminton,Egypt,1
Badminton,Finland,1
Badminton,Italy,1
Badminton,Japan,1
Baseball,USA,1
Basketball,China,1
Basketball,France,1
"Basque Pelota",Portugal,1
"Beach Volleyball",Egypt,2
"Beach Volleyball","United Arab Republic",1
Biathlon,Algeria,2
Biathlon,Egypt,2
Biathlon,Finland,1
Biathlon,Kuwait,1
Biathlon,Spain,1
Biathlon,Tajikistan,1
Biathlon,Tanzania,1
Biathlon,"Unified Team",1
Biathlon,Uzbekistan,1
Bobsleigh,Canada,1
Bobsleigh,France,1
Bobsleigh,Japan,1
Bobsleigh,UK,1
Boxing,Cameroon,2
Boxing,Armenia,1
Boxing,Bahrain,1
Boxing,Bulgaria,1
Boxing,Comoros,1
Boxing,Egypt,1
Boxing,Ethiopia,1
Boxing,Iraq,1
Boxing,Italy,1
Boxing,Morocco,1
Boxing,Norway,1
Boxing,Pakistan,1
Boxing,Sudan,1
Boxing,Turkey,1
Canoeing,Egypt,4
Canoeing,Algeria,1
Canoeing,Argentina,1
Canoeing,Bulgaria,1
Canoeing,France,1
Canoeing,Iran,1
Canoeing,Iraq,1
Canoeing,Japan,1
Canoeing,Kuwait,1
Canoeing,Kyrgyzstan,1
Canoeing,Libya,1
Canoeing,Mexico,1
Canoeing,Paraguay,1
Canoeing,Philippines,1
Canoeing,Russia,1
Canoeing,Singapore,1
Canoeing,Spain,1
Canoeing,"Sri Lanka",1
Canoeing,Sudan,1
Canoeing,Sweden,1
Canoeing,UK,1
Canoeing,Uruguay,1
Cricket,Turkey,1
Croquet,Latvia,2
Croquet,Colombia,1
"Cross Country Skiing",Egypt,5
"Cross Country Skiing",Japan,3
"Cross Country Skiing",USA,3
"Cross Country Skiing",Spain,2
"Cross Country Skiing","United Arab Republic",2
"Cross Country Skiing",Monaco,1
"Cross Country Skiing",Netherlands,1
"Cross Country Skiing",Nigeria,1
"Cross Country Skiing",Norway,1
