event_name,games_name,games_year
"Gymnastics Men's Individual All-Around","2016 Summer",2016
"Badminton Men's Singles","2014 Winter",2014
"Judo Men's Extra-Lightweight","2012 Summer",2012
"Speed Skating Men's 500 metres","2010 Winter",2010
"Swimming Men's 400 metres Breaststroke","2008 Summer",2008
"Swimming Men's 200 metres Breaststroke","2006 Winter",2006
"Gymnastics Men's Team All-Around","2004 Summer",2004
"Cross Country Skiing Men's 10/15 kilometres Pursuit","2002 Winter",2002
"Athletics Women's 100 metres","2000 Summer",2000
"Biathlon Women's 7.5 kilometres Sprint","1998 Winter",1998
"Athletics Women's 4 x 100 metres Relay","1996 Summer",1996
"Cross Country Skiing Men's 10 kilometres","1994 Winter",1994
"Basketball Men's Basketball","1992 Summer",1992
"Speed Skating Women's 1,000 metres","1992 Winter",1992
"Athletics Men's Shot Put","1988 Summer",1988
"Speed Skating Women's 500 metres","1988 Winter",1988
"Gymnastics Men's Horizontal Bar","1984 Summer",1984
"Gymnastics Men's Parallel Bars","1984 Winter",1984
"Cross Country Skiing Men's 30 kilometres","1980 Winter",1980
"Weightlifting Women's Super-Heavyweight","1980 Summer",1980
"Handball Women's Handball","1976 Summer",1976
"Luge Women's Singles","1976 Winter",1976
"Gymnastics Men's Pommelled Horse","1972 Summer",1972
"Gymnastics Men's Team All-Around, Free System","1972 Winter",1972
"Gymnastics Men's Rings","1968 Summer",1968
"Speed Skating Men's 1,500 metres","1968 Winter",1968
"Gymnastics Men's Horse Vault","1964 Winter",1964
"Wrestling Men's Light-Heavyweight, Greco-Roman","1964 Summer",1964
"Alpine Skiing Men's Slalom","1960 Summer",1960
"Gymnastics Men's Floor Exercise","1960 Winter",1960
"Alpine Skiing Men's Giant Slalom","1956 Summer",1956
"Alpine Skiing Men's Super G","1956 Winter",1956
"Alpine Skiing Men's Downhill","1952 Winter",1952
"Cross Country Skiing Men's 4 x 10 kilometres Relay","1952 Summer",1952
"Athletics Men's High Jump","1948 Winter",1948
"Sailing Women's Windsurfer","1948 Summer",1948
"Art Competitions Mixed Sculpturing, Unknown Event","1936 Summer",1936
"Athletics Men's 1,500 metres","1936 Winter",1936
"Cross Country Skiing Men's 50 kilometres","1932 Summer",1932
"Sailing Men's Two Person Dinghy","1932 Winter",1932
"Alpine Skiing Men's Combined","1928 Summer",1928
"Rowing Men's Lightweight Double Sculls","1928 Winter",1928
"Swimming Men's 400 metres Freestyle","1924 Summer",1924
"Water Polo Men's Water Polo","1924 Winter",1924
"Football Men's Football","1920 Summer",1920
"Ice Hockey Men's Ice Hockey","1912 Summer",1912
"Athletics Men's Pole Vault","1908 Summer",1908
"Hockey Women's Hockey","1906 Summer",1906
"Sailing Mixed Three Person Keelboat","1904 Summer",1904
"Tug-Of-War Men's Tug-Of-War","1900 Summer",1900
"Bobsleigh Men's Four","1896 Summer",1896
