games_year,sport_name,occurrence_of_game
2016,Weightlifting,1
2016,Gymnastics,3
2016,Athletics,5
2016,Rowing,2
2016,Handball,1
2016,Judo,1
2016,Football,1
2016,Wrestling,2
2016,Swimming,4
2016,Badminton,1
2016,"Water Polo",1
2016,Basketball,1
2016,Sailing,6
2016,Hockey,1
2014,"Ice Hockey",2
2014,"Alpine Skiing",5
2014,Biathlon,1
2014,"Cross Country Skiing",5
2014,Luge,1
2014,"Speed Skating",5
2012,Judo,1
2012,Athletics,5
2012,Handball,1
2012,Rowing,2
2012,Hockey,1
2012,"Water Polo",1
2012,Wrestling,2
2012,Weightlifting,1
2012,Football,1
2012,Badminton,1
2012,Gymnastics,3
2012,Basketball,1
2012,Swimming,4
2012,Sailing,6
2010,"Alpine Skiing",5
2010,Biathlon,1
2010,"Speed Skating",5
2010,"Ice Hockey",2
2010,"Cross Country Skiing",5
2010,Luge,1
2008,Handball,1
2008,Athletics,5
2008,Basketball,1
2008,Football,1
2008,Hockey,1
2008,Swimming,4
2008,Sailing,6
2008,Wrestling,2
2008,Weightlifting,1
2008,Gymnastics,3
2008,Badminton,1
2008,Judo,1
2008,Rowing,2
2008,"Water Polo",1
2006,"Alpine Skiing",5
2006,"Speed Skating",5
2006,"Cross Country Skiing",5
2006,"Ice Hockey",2
2006,Biathlon,1
2006,Luge,1
2004,Wrestling,2
2004,Athletics,5
2004,Football,1
2004,Handball,1
2004,Swimming,4
2004,Weightlifting,1
2004,Hockey,1
2004,"Water Polo",1
2004,Rowing,2
2004,Judo,1
2004,Sailing,6
2004,Basketball,1
2004,Gymnastics,3
2004,Badminton,1
2002,"Ice Hockey",2
2002,"Alpine Skiing",5
2002,"Cross Country Skiing",5
2002,Luge,1
2002,"Speed Skating",5
2002,Biathlon,1
2000,Badminton,1
2000,Sailing,6
2000,Athletics,5
2000,Wrestling,2
2000,Rowing,2
2000,Swimming,4
2000,Football,1
2000,Hockey,1
2000,Weightlifting,1
2000,Basketball,1
2000,Gymnastics,3
2000,Handball,1
2000,"Water Polo",1
2000,Judo,1
1998,"Alpine Skiing",5
1998,"Cross Country Skiing",5
1998,Luge,1
1998,"Speed Skating",5
1998,Biathlon,1
1998,"Ice Hockey",2
1996,Sailing,6
1996,Rowing,2
1996,Swimming,4
1996,Football,1
1996,Wrestling,2
1996,Judo,1
1996,"Water Polo",1
1996,Athletics,5
1996,Handball,1
1996,Hockey,1
1996,Badminton,1
1996,Weightlifting,1
1996,Basketball,1
1996,Gymnastics,3
1994,"Speed Skating",5
1994,"Cross Country Skiing",5
1994,Biathlon,1
1994,"Alpine Skiing",5
1994,Luge,1
1994,"Ice Hockey",2
1992,Basketball,1
1992,"Speed Skating",5
1992,"Cross Country Skiing",5
1992,"Alpine Skiing",5
1992,Sailing,6
1992,Wrestling,2
1992,Judo,1
1992,Rowing,2
1992,Athletics,5
1992,Handball,1
1992,Hockey,1
1992,Football,1
1992,Weightlifting,1
1992,Badminton,1
1992,Luge,1
1992,Swimming,4
1992,Biathlon,1
1992,"Ice Hockey",2
1992,Gymnastics,3
1992,"Water Polo",1
1988,"Speed Skating",5
1988,Hockey,1
1988,Rowing,2
1988,Athletics,5
1988,Wrestling,2
1988,Basketball,1
1988,Swimming,4
1988,Luge,1
1988,Football,1
1988,"Cross Country Skiing",5
1988,Weightlifting,1
1988,"Alpine Skiing",5
1988,Sailing,6
1988,"Ice Hockey",2
1988,Judo,1
1988,Gymnastics,3
1988,Handball,1
1988,"Water Polo",1
1988,Biathlon,1
1984,Luge,1
1984,"Water Polo",1
1984,Sailing,6
1984,Athletics,5
1984,Rowing,2
1984,Hockey,1
1984,Basketball,1
1984,Football,1
1984,Swimming,4
1984,"Ice Hockey",2
1984,Weightlifting,1
1984,Wrestling,2
1984,Judo,1
1984,Biathlon,1
1984,Gymnastics,3
1984,Handball,1
1984,"Alpine Skiing",5
1984,"Cross Country Skiing",5
1984,"Speed Skating",5
1980,"Cross Country Skiing",5
1980,Sailing,6
1980,Athletics,5
1980,Rowing,2
1980,Football,1
1980,Swimming,4
1980,Biathlon,1
1980,Wrestling,2
1980,"Ice Hockey",2
1980,Basketball,1
1980,Judo,1
1980,"Alpine Skiing",5
1980,Gymnastics,3
1980,Weightlifting,1
1980,Handball,1
1980,"Water Polo",1
1980,Hockey,1
1980,"Speed Skating",5
1980,Luge,1
1976,Athletics,5
1976,Sailing,6
1976,Weightlifting,1
1976,Handball,1
1976,Basketball,1
1976,Football,1
1976,"Water Polo",1
1976,Rowing,2
1976,Wrestling,2
1976,Swimming,4
1976,Hockey,1
1976,Judo,1
1976,"Alpine Skiing",5
1976,Biathlon,1
1976,"Ice Hockey",2
1976,"Cross Country Skiing",5
1976,"Speed Skating",5
1976,Gymnastics,3
1976,Luge,1
1972,Sailing,6
1972,Athletics,5
1972,Basketball,1
1972,Wrestling,2
1972,Swimming,4
1972,Football,1
1972,Gymnastics,3
1972,Rowing,2
1972,Handball,1
1972,"Ice Hockey",2
1972,Judo,1
1972,Weightlifting,1
1972,Hockey,1
1972,"Water Polo",1
1972,"Cross Country Skiing",5
1972,"Alpine Skiing",5
1972,Luge,1
1972,Biathlon,1
1972,"Speed Skating",5
1968,Sailing,6
1968,Athletics,5
1968,Swimming,4
1968,Rowing,2
1968,Gymnastics,3
1968,Football,1
1968,"Cross Country Skiing",5
1968,Basketball,1
1968,"Alpine Skiing",5
1968,Wrestling,2
1968,Hockey,1
1968,"Ice Hockey",2
1968,Weightlifting,1
1968,"Water Polo",1
1968,Biathlon,1
1968,"Speed Skating",5
1968,Luge,1
1964,"Speed Skating",5
1964,Wrestling,2
1964,Weightlifting,1
1964,Athletics,5
1964,Rowing,2
1964,"Water Polo",1
1964,Hockey,1
1964,Gymnastics,3
1964,Football,1
1964,"Cross Country Skiing",5
1964,Sailing,6
1964,"Alpine Skiing",5
1964,Basketball,1
1964,"Ice Hockey",2
1964,Biathlon,1
1964,Swimming,4
1964,Luge,1
1964,Judo,1
1960,"Speed Skating",5
1960,Weightlifting,1
1960,Football,1
1960,"Water Polo",1
1960,Hockey,1
1960,Wrestling,2
1960,Gymnastics,3
1960,Rowing,2
1960,Athletics,5
1960,Basketball,1
1960,"Ice Hockey",2
1960,Biathlon,1
1960,Sailing,6
1960,"Cross Country Skiing",5
1960,"Alpine Skiing",5
1960,Swimming,4
1956,"Speed Skating",5
1956,Weightlifting,1
1956,Swimming,4
1956,Hockey,1
1956,Athletics,5
1956,"Ice Hockey",2
1956,"Water Polo",1
1956,"Alpine Skiing",5
1956,Gymnastics,3
1956,Rowing,2
1956,Sailing,6
1956,"Cross Country Skiing",5
1956,Basketball,1
1956,Wrestling,2
1956,Football,1
1952,Swimming,4
1952,Gymnastics,3
1952,"Speed Skating",5
1952,Basketball,1
1952,Athletics,5
1952,"Water Polo",1
1952,Weightlifting,1
1952,Hockey,1
1952,"Ice Hockey",2
1952,"Alpine Skiing",5
1952,Rowing,2
1952,Football,1
1952,"Cross Country Skiing",5
1952,Sailing,6
1952,Wrestling,2
1948,Gymnastics,3
1948,"Art Competitions",1
1948,"Water Polo",1
1948,Swimming,4
1948,Athletics,5
1948,Football,1
1948,Basketball,1
1948,Rowing,2
1948,Hockey,1
1948,Wrestling,2
1948,Weightlifting,1
1948,"Cross Country Skiing",5
1948,"Speed Skating",5
1948,"Alpine Skiing",5
1948,Sailing,6
1948,"Ice Hockey",2
1936,Athletics,5
1936,Swimming,4
1936,Rowing,2
1936,"Water Polo",1
1936,Gymnastics,3
1936,Sailing,6
1936,Hockey,1
1936,Weightlifting,1
1936,Basketball,1
1936,Handball,1
1936,Wrestling,2
1936,Football,1
1936,"Art Competitions",1
1936,"Alpine Skiing",5
1936,"Ice Hockey",2
1936,"Speed Skating",5
1936,"Cross Country Skiing",5
1932,Athletics,5
1932,"Art Competitions",1
1932,Swimming,4
1932,"Cross Country Skiing",5
1932,Sailing,6
1932,Rowing,2
1932,Hockey,1
1932,"Ice Hockey",2
1932,Weightlifting,1
1932,"Speed Skating",5
1932,"Water Polo",1
1932,Gymnastics,3
1932,Wrestling,2
1928,Athletics,5
1928,Football,1
1928,"Art Competitions",1
1928,"Water Polo",1
1928,"Ice Hockey",2
1928,Hockey,1
1928,Weightlifting,1
1928,Gymnastics,3
1928,Wrestling,2
1928,Rowing,2
1928,Sailing,6
1928,"Speed Skating",5
1928,"Cross Country Skiing",5
1928,Swimming,4
1924,Swimming,4
1924,Athletics,5
1924,Football,1
1924,"Ice Hockey",2
1924,"Art Competitions",1
1924,Weightlifting,1
1924,"Cross Country Skiing",5
1924,Sailing,6
1924,Wrestling,2
1924,Rowing,2
1924,"Water Polo",1
1924,"Speed Skating",5
1924,Gymnastics,3
1920,Football,1
1920,Swimming,4
1920,Gymnastics,3
1920,Athletics,5
1920,Sailing,6
1920,Wrestling,2
1920,Weightlifting,1
1920,"Water Polo",1
1920,Rowing,2
1920,"Ice Hockey",2
1920,Hockey,1
1920,Tug-Of-War,1
1920,"Art Competitions",1
1912,Swimming,4
1912,Athletics,5
1912,Sailing,6
1912,Wrestling,2
1912,Gymnastics,3
1912,"Art Competitions",1
1912,"Water Polo",1
1912,Rowing,2
1912,Football,1
1912,Tug-Of-War,1
1908,Gymnastics,3
1908,Athletics,5
1908,Hockey,1
1908,Football,1
1908,Tug-Of-War,1
1908,Wrestling,2
1908,Swimming,4
1908,"Water Polo",1
1908,Sailing,6
1908,Rowing,2
1906,Athletics,5
1906,Football,1
1906,Gymnastics,3
1906,Swimming,4
1906,Tug-Of-War,1
1906,Wrestling,2
1906,Rowing,2
1906,Weightlifting,1
1904,Rowing,2
1904,Swimming,4
1904,Athletics,5
1904,Gymnastics,3
1904,Football,1
1904,Wrestling,2
1904,"Water Polo",1
1904,Tug-Of-War,1
1904,Weightlifting,1
1900,Tug-Of-War,1
1900,Rowing,2
1900,Football,1
1900,Swimming,4
1900,Athletics,5
1900,"Water Polo",1
1900,Sailing,6
1900,Gymnastics,3
1896,Athletics,5
1896,Gymnastics,3
1896,Weightlifting,1
1896,Wrestling,2
1896,Swimming,4
